,MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID,mol,MFC#
10,120.15,C8H8O,120.15,Cc1ccccc1C=O,Alfa Aesar (US),0,,"o-Tolualdehyde, 98%, stab. with 0.1% hydroquinone",MFCD00003338,479244,<rdkit.Chem.rdchem.Mol object at 0x0000020EE06FFAF0>,32
42,120.15,C8H8O,120.15,Cc1cccc(C=O)c1,Alfa Aesar (US),0,,"m-Tolualdehyde, 97%, stab. with 0.1% hydroquinone",MFCD00003374,532075,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0704330>,36
78,120.15,C8H8O,120.15,Cc1ccc(C=O)cc1,Alfa Aesar (US),0,,"p-Tolualdehyde, 98%",MFCD00006954,532081,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0704C30>,37
160,122.12,C7H6O2,122.12,Oc1ccccc1C=O,InterBioScreen,0,,2-hydroxybenzaldehyde,MFCD00003317,475256,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0719130>,20
180,122.12,C7H6O2,122.12,Oc1ccc(C=O)cc1,InterBioScreen,0,,4-hydroxybenzaldehyde,MFCD00006939,481831,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0719630>,46
226,122.12,C7H6O2,122.12,Oc1cccc(C=O)c1,Alfa Aesar (US),0,,"3-Hydroxybenzaldehyde, 97%",MFCD00003368,519571,<rdkit.Chem.rdchem.Mol object at 0x0000020EE07241F0>,42
271,124.11,C7H5FO,124.11,Fc1ccc(C=O)cc1,Activate Scientific,0,,4-Fluorobenzaldehyde,MFCD00003378,480287,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0724D30>,36
307,124.11,C7H5FO,124.11,Fc1ccccc1C=O,Alfa Aesar (US),0,,"2-Fluorobenzaldehyde, 97%",MFCD00003302,511579,<rdkit.Chem.rdchem.Mol object at 0x0000020EE072B670>,31
338,124.11,C7H5FO,124.11,Fc1cccc(C=O)c1,InterBioScreen,0,,3-fluorobenzaldehyde,MFCD00003348,511601,<rdkit.Chem.rdchem.Mol object at 0x0000020EE1D10D70>,38
377,130.15,C9H6O,130.15,O=Cc1ccccc1C#C,EvoBlocks,0,,2-ethynylbenzaldehyde,MFCD04039985,523783,<rdkit.Chem.rdchem.Mol object at 0x0000020EE072BA30>,32
409,130.15,C9H6O,130.15,O=Cc1ccc(cc1)C#C,ChemBridge,4003406,,4-ethynylbenzaldehyde,MFCD05664348,524405,<rdkit.Chem.rdchem.Mol object at 0x0000020EE073C270>,44
453,130.15,C9H6O,130.15,O=Cc1cccc(c1)C#C,ChemBridge,4031050,,3-ethynylbenzaldehyde,MFCD06245349,3786824,<rdkit.Chem.rdchem.Mol object at 0x0000020EE073CD70>,29
483,131.13,C8H5NO,131.13,O=Cc1cccc(c1)C#N,Alinda Chemical,0,,3-formylbenzonitrile,MFCD00003344,482173,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0744530>,46
529,131.13,C8H5NO,131.13,O=Cc1ccc(cc1)C#N,Alinda Chemical,0,,4-formylbenzonitrile,MFCD00003376,494584,<rdkit.Chem.rdchem.Mol object at 0x0000020EE074F0F0>,46
575,131.13,C8H5NO,131.13,O=Cc1ccccc1C#N,Alinda Chemical,0,,2-formylbenzonitrile,MFCD00017503,500341,<rdkit.Chem.rdchem.Mol object at 0x0000020EE074FC70>,38
621,132.16,C9H8O,132.16,C=Cc1ccccc1C=O,Matrix Scientific,173038,,2-Vinylbenzaldehyde,MFCD01321324,6756802,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0758830>,15
636,132.16,C9H8O,132.16,C=Cc1ccc(C=O)cc1,Advamacs,0,,"Benzaldehyde, 4-ethenyl- 97%",MFCD00085289,11643123,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0758BF0>,17
653,132.16,C9H8O,132.16,O=Cc1ccc2CCc2c1,AstaTech,67955,,"BICYCLO[4.2.0]OCTA-1,3,5-TRIENE-3-CARBALDEHYDE",MFCD09842341,49864268,<rdkit.Chem.rdchem.Mol object at 0x0000020EE075E070>,16
766,134.18,C9H10O,134.18,Cc1ccc(C=O)c(C)c1,Alfa Aesar (US),0,,"2,4-Dimethylbenzaldehyde, 90+%",MFCD00003340,482097,<rdkit.Chem.rdchem.Mol object at 0x0000020EE0765CF0>,34
